arch,condition,seed,rho,wd,lesion,side,D50_rule,D50_exc,max_overreg,overreg_at_rule_intact,SI_q0.5,d_test_q0.5,d_exc_q0.5,SI_k64,d_test_k64,d_exc_k64,SI_k256,d_test_k256,d_exc_k256
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,residual,out,,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,topk,both,0.8074827780120009,0.8749999999998718,0.0054054054054054,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,topk,in,0.8526385438045653,0.8764124293783989,0.0036036036036036,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.1_tiersNone,1002,0.05,0.1,topk,out,0.8165461660917035,,0.0,0.0,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,ebottom,in,0.6798418024926676,0.33732876712314575,0.7765765765765765,0.7765765765765765,0.7848647674789464,-0.0010809836951625185,0.7837837837837839,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,erand,in,0.6171989354623323,0.3954379562037996,0.41021021021021015,0.35435435435435436,0.5397390544314246,0.10350418881181873,0.6432432432432433,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,etop,in,0.41874485596699257,0.614462809917289,0.1117117117117117,0.1117117117117117,-0.3446237697926734,0.676155301324205,0.3315315315315316,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,lowpass,in,38.90464781984918,41.637305699491016,0.0954954954954954,0.0954954954954954,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,neurons,units,,,0.0954954954954954,0.0954954954954954,,,,0.007567535105594825,-0.00036032789838758017,0.007207207207207245,0.03999996753802726,-0.00036032789838758017,0.03963963963963968
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,randk,both,,,0.0684684684684684,0.0684684684684684,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,randk,in,,,0.0342342342342342,0.0342342342342342,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,randk,out,,,0.0252252252252252,0.0252252252252252,,,,,,,,,
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,randunits,units,,,0.006606606606606599,0.006606606606606599,,,,-0.0006306279254662354,3.002732486564093e-05,-0.0006006006006005945,-0.0009309011741224967,0.00033030057352190223,-0.0006006006006005945
kimi,kimi_add_rho0.05_wd0.3_tiersNone,1000,0.05,0.3,residual,both,,,0.0684684684684684,0.0684684684684684,,,,,,,,,
