arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,62,0.00394607574999449,47,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,63,0.06341028369604872,8,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,64,0.005426526439306871,18,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,65,0.0034744595322474033,67,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,66,0.0040319670316613316,44,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,67,0.004044837503055858,43,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,68,0.0036499335040002965,60,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,69,0.003276574542072625,71,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,70,0.005293897085444628,20,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,71,0.003856887259906918,52,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,72,0.0046805835248006356,25,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,73,0.004273343812440551,36,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,natural,out,74,0.004065163612592497,41,0.0017212866137580071
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,1,0.0029254206841280153,28,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,2,0.0022155735555509874,53,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,3,0.003187306903567208,26,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,4,0.011051666486143452,15,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,5,0.002786238840417142,30,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,6,0.025755533070382437,10,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,7,0.002005301732535689,66,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,8,0.0018224087631831497,73,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,9,0.002129909569101912,58,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,10,0.00267190270439765,34,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,11,0.0022273057391505725,52,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,12,0.002065862345823225,62,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,13,0.002572524995236285,40,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,14,0.10153868213598105,1,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,15,0.004330271250192607,21,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,16,0.003796160100793176,22,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,17,0.0026828758002037027,33,0.013352513336713109
transformer,transformer_add_rho0.02_wd0.1_tiersNone,1001,add,0.02,0.1,final,natural,in,18,0.00203455753986827,64,0.013352513336713109
