arch,condition,seed,task,rho,wd,step,basis,side,mode,energy_share,rank,dc_share
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,41,0.07857213568867669,7,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,42,0.0029863950508561585,45,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,43,0.0026381090067134705,62,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,44,0.002534208474373756,68,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,45,0.1397201559937646,1,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,46,0.05122978540391303,9,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,47,0.0028953318965701962,53,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,48,0.0031806079946853274,35,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,49,0.0032302962143815994,31,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,50,0.0030760380773830515,41,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,51,0.002613893182035617,65,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,52,0.003237517141944398,30,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,53,0.004507376791205191,14,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,54,0.002911724130869365,49,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,55,0.0036554632720592287,17,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,56,0.002352455763884536,72,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,57,0.0027834148180320476,56,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,58,0.008701266456165056,10,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,59,0.003215290897374666,32,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,60,0.003449123886910562,24,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,61,0.005387587663486619,12,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,62,0.002903258147716709,51,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,63,0.0030915532133249947,40,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,64,0.003601398846127349,19,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,65,0.00401312189922184,16,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,66,0.093261991375435,3,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,67,0.00254926035734646,67,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,68,0.002984307629602032,46,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,69,0.0027744488580190535,57,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,70,0.003035725250947359,43,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,71,0.0028145463708388286,55,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,72,0.002850527242620619,54,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,73,0.0026491570050256063,61,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1000,div,0.02,0.1,final,dlog,out,74,0.0915963711905946,4,0.0029534434691664063
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,1,0.004967036406051607,27,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,2,0.004584403250693339,41,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,3,0.005002121194733637,26,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,4,0.09132865279402679,5,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,5,0.0059852167194448455,15,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,6,0.0034816047808434044,70,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,7,0.0046292679216466725,38,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,8,0.004561464891959607,43,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,9,0.003878757514279111,62,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,10,0.004769484104399905,33,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,11,0.004356875542393628,50,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,12,0.12066837694603715,1,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,13,0.10704883749706826,3,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,14,0.004696426672311978,35,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,15,0.003734544914629992,68,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,16,0.004173515777775841,55,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,17,0.0038754180177047494,63,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,18,0.005068948031086135,21,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,19,0.005507299034680986,19,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,20,0.004570828296722573,42,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,21,0.003830805724323006,65,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,22,0.004486792940808784,45,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,23,0.09769095661854886,4,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,24,0.006396979939398487,11,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,25,0.004005065357865433,58,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,26,0.005030239092172233,24,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,27,0.004504264091240212,44,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,28,0.005025924098793231,25,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,29,0.0039072530457944996,60,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,30,0.006440491269422556,10,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,31,0.006250250915749389,13,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,32,0.0043418415109396594,51,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,33,0.005036580770414625,23,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,34,0.004450464875810319,47,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,35,0.003739735457246019,67,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,36,0.006596043809004283,9,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,37,0.08334506476326707,6,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,38,0.004946418512189069,29,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,39,0.011864217664054889,8,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,40,0.0036353307093224835,69,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,41,0.005355051028421254,20,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,42,0.10867278841779143,2,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,43,0.004892447102267001,30,0.009109317555205384
kimi,kimi_div_rho0.02_wd0.1_tiersNone,1001,div,0.02,0.1,final,dlog,in,44,0.004315391453419935,52,0.009109317555205384
