arch,condition,seed,task,rho,wd,step,step_req,grok_step,basis,side,mode,energy_share,rank,dc_share
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,45,0.01331478138149775,39,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,46,0.012959541136896926,51,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,47,0.014084682820526582,18,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,48,0.01216744885798056,71,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,49,0.014742027811404379,9,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,50,0.014455395087879956,12,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,51,0.014901600807675454,4,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,52,0.012900934255010411,54,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,53,0.012823595013987922,60,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,54,0.013669946069194345,29,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,55,0.012895433828884686,56,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,56,0.013599835668185465,31,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,57,0.014213018432167579,17,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,58,0.013149901904741055,47,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,59,0.01259147394525527,68,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,60,0.016046838931500874,1,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,61,0.011596948003064532,74,0.005175960069100294
mamba,mamba_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,100,0.25g,450,natural,out,62,0.012717077480435669,65,0.005175960069100294
