arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,4,0.0020833333333333333,1.0,0.9782001621475542,0.09626157581806183,0.9994484280198566,0.0015395223163068295,1.0,0.0,0.0,0.007595155853778124,10.872197151184082,rulex,gcm_hamming,11323,85522.84941522664,23006.716523448267,3730.680866824665,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.518629214228,39506.70404345319,38909.61586410329,8520.482972590626,4789.802105765961,1920.0,grad,-0.651884913444519,-0.020838245749473572
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,8,0.004166666666666667,1.0,0.9781100801729574,0.09626373648643494,0.9994484280198566,0.0015376416267827153,1.0,0.0,0.0,0.0075262924656271935,10.87349796295166,rulex,gcm_hamming,11323,85530.6416537041,22980.806837775774,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27788.726390736778,39473.28031284139,38876.19194490239,8536.83754584105,4807.919552961005,1920.0,grad,-1.5290473699569702,-0.0933201014995575
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,16,0.008333333333333333,1.0,0.9782902441221512,0.09603980928659439,0.9994484280198566,0.0015373836504295468,1.0,0.0,0.0,0.007743557449430227,10.857071876525879,rulex,gcm_hamming,11323,85529.83038919166,23017.852996678295,3732.443740769284,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27789.537655249213,39461.714690750094,38864.626324956866,8504.1283993402,4771.684658570915,1920.0,grad,-0.4734950363636017,-0.16192151606082916
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,32,0.016666666666666666,1.0,0.9781100801729574,0.09609612077474594,0.9995403566832138,0.0014738234458491206,1.0,0.0,0.0,0.008116504177451134,10.822842597961426,rulex,gcm_hamming,11323,85539.31514326154,22972.133348218314,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27780.05290117932,39450.02064019963,38833.47587854192,8536.83754584105,4807.919552961005,1920.0,grad,-0.5983836650848389,-0.20750629901885986
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,64,0.03333333333333333,1.0,0.9786505720205387,0.09466729313135147,0.9995403566832138,0.0014770346460863948,1.0,0.0,0.0,0.008098131977021694,10.764655113220215,rulex,gcm_hamming,11323,85557.37942299205,23062.77375165809,3739.495236547764,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27761.988621448825,39466.68163639829,38850.14257699773,8438.7101063385,4699.214869790736,1920.0,grad,-0.7676920890808105,-0.20513419806957245
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,128,0.06666666666666667,1.0,0.9782001621475542,0.09545469284057617,0.9995403566832138,0.0014670288655906916,1.0,0.0,0.0,0.008251864463090897,10.715627670288086,rulex,gcm_hamming,11323,85542.46071828488,22987.105220390018,3730.680866824665,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27776.90732615598,39461.17958099172,38844.33781821057,8520.482972590626,4789.802105765961,1920.0,grad,-2.9306678771972656,-0.21742242574691772
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,256,0.13333333333333333,1.0,0.9783803260967481,0.09453221410512924,0.9994484280198566,0.0015678426716476679,1.0,0.0,0.0,0.009796664118766785,10.535673141479492,rulex,gcm_hamming,11323,85554.94900898795,23010.851824077035,3734.206614713905,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27764.419035452906,39428.94362265393,38827.84455234334,8487.773826089775,4753.56721137587,1920.0,grad,-1.6889064311981201,-0.28243184089660645
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,512,0.26666666666666666,1.0,0.9782001621475542,0.08929439634084702,0.9995403566832138,0.0018565242644399405,1.0,0.0,0.0,0.015183004550635815,9.933526039123535,rulex,gcm_hamming,11323,85590.00715518769,22939.558783487213,3730.680866824665,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27729.360889253174,39373.24961406514,38807.407171195,8520.482972590626,4789.802105765961,1920.0,grad,-1.6889064311981201,-0.28243184089660645
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,0,0.0,2.0,0.9781100801729574,0.09627477824687958,0.9994484280198566,0.0015436498215422034,1.0,0.0,0.0,0.007487163878977299,10.878389358520508,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,,
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,1,0.0005208333333333333,2.0,0.9781100801729574,0.09615670144557953,0.9994484280198566,0.0015327406581491232,1.0,0.0,0.0,0.007510002236813307,10.878976821899414,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,-0.22623685002326965,-0.0020544917788356543
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,2,0.0010416666666666667,2.0,0.9781100801729574,0.09617359191179276,0.9994484280198566,0.0015566531801596284,1.0,0.0,0.0,0.007411940488964319,10.87198543548584,rulex,gcm_hamming,11323,85522.40330420679,22989.04518727307,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27796.964740234074,39510.89628226087,38913.808103149386,8536.83754584105,4807.919552961005,1920.0,grad,-0.32115352153778076,-0.2481648176908493
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,4,0.0020833333333333333,2.0,0.9780199981983605,0.09604049474000931,0.9994484280198566,0.0015374968061223626,1.0,0.0,0.0,0.007556520402431488,10.871315956115723,rulex,gcm_hamming,11323,85520.57694982571,22972.75409445911,3727.1548075145383,40.0,8.0,0.04269799498746867,1.0,0.017045762711864407,113319.36804444087,27798.791094615157,39508.38201362416,38911.29383451268,8553.191807670588,4826.0370001560495,1920.0,grad,-0.4358171224594116,-0.08891898393630981
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,8,0.004166666666666667,2.0,0.9782902441221512,0.09643339365720749,0.9994484280198566,0.0015897363191470504,1.0,0.0,0.0,0.007741823792457581,10.87060832977295,rulex,gcm_hamming,11323,85530.15973281277,23017.52365305718,3732.443740769284,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27789.208311628096,39497.49886590764,38880.959804361315,8504.1283993402,4771.684658570915,1920.0,grad,-0.349282443523407,-0.09197424352169037
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,16,0.008333333333333333,2.0,0.9782902441221512,0.09617017209529877,0.9994484280198566,0.0015663693193346262,1.0,0.0,0.0,0.007732633035629988,10.850584030151367,rulex,gcm_hamming,11323,85531.08805812143,23016.595327748524,3732.443740769284,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27788.27998631944,39494.79664713666,38878.257585351916,8504.1283993402,4771.684658570915,1920.0,grad,-0.6667147874832153,-0.1609192043542862
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,32,0.016666666666666666,2.0,0.9781100801729574,0.09630792587995529,0.9994484280198566,0.0015393036883324385,1.0,0.0,0.0,0.00776662165299058,10.82748031616211,rulex,gcm_hamming,11323,85528.02404886139,22983.424442618467,3728.917992880045,40.0,8.0,0.040192230576441106,1.0,0.017045762711864407,113319.36804444087,27791.34399557947,39461.89717990682,38864.80881268308,8536.83754584105,4807.919552961005,1920.0,grad,-1.2705590724945068,-0.16681362688541412
kimi,kimi_max_rho0.02_wd0.1_tiersNone,1000,max,0.02,0.1,final,randunits,units,64,0.03333333333333333,2.0,0.9778398342491668,0.09636994451284409,0.9994484280198566,0.0015911542577669024,1.0,0.0,0.0,0.0077269054017961025,10.816106796264648,rulex,gcm_hamming,11323,85537.89238659869,22919.20376329604,3723.3767633619436,40.0,8.0,0.04269799498746867,1.0,0.017045762711864407,113319.36804444087,27781.475657842177,39471.549480503054,38874.46111447141,8585.648657908083,4862.271894546139,1920.0,grad,-0.91583651304245,-0.2640535235404968
