arch,condition,seed,task,rho,wd,step,side,mode,energy_share,rank,dc_share
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,22,0.006337855714162474,61,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,23,0.01738051052374857,12,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,24,0.007880339199824908,41,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,25,0.007411345106323783,46,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,26,0.01105534133363121,21,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,27,0.008262364417176772,36,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,28,0.008335803538370804,35,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,29,0.010905388615332755,22,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,30,0.00858284665025537,32,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,31,0.004946059957220974,73,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,32,0.007073062061141174,52,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,33,0.06820594258064866,3,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,34,0.015080757190722027,14,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,35,0.014319601373235622,16,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,36,0.03136562452824352,7,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,37,0.0068634552095824765,57,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,38,0.007200305728078761,50,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,39,0.005857579669744875,65,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,40,0.009011015544929593,30,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,41,0.04347728907079955,5,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,42,0.0056810713601064995,66,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,43,0.006397440311148133,59,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,44,0.0080987202664474,39,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,45,0.014718518184497906,15,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,46,0.007532754229383823,45,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,47,0.009071405868243225,29,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,48,0.006870544013904112,56,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,49,0.00915005808761673,28,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,50,0.005027824761649863,72,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,51,0.0063173934578124764,62,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,52,0.007408776284778128,47,0.0014676219984556798
kimi,kimi_add_rho0.02_wd0.1_tiersNone,1000,add,0.02,0.1,final,out,53,0.07478314864529469,1,0.0014676219984556798
