arch,condition,seed,task,rho,wd,step,step_req,grok_step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,67,0.9,1.0,0.016124673452842086,5.100741386413574,0.02972972972972973,4.881168842315674,,,,,,gcm_hamming,gcm_hamming,11101,566.4543352826004,-470.2480293704284,-39.58259468557662,0.38784548949737163,3.433496875730229,0.9898769423558897,0.0,0.9829542372881356,111097.61588460108,110531.16154931848,110995.36072610413,111001.01356004273,111001.40957868891,111040.99217337448,66.0,67.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,71,0.95,1.0,0.016485001351229617,5.075658321380615,0.025045045045045046,4.9426398277282715,,,,,,gcm_hamming,gcm_hamming,11101,426.44407781556947,-322.83177084013005,-36.777066597380326,0.2,3.433496875730229,0.9898769423558897,0.0,0.9829542372881356,111097.61588460108,110671.17180678551,110980.72526620423,110974.74730752503,110994.00357762564,111030.78064422302,66.0,71.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,74,1.0,1.0,0.006305738221781821,5.216196060180664,0.007117117117117117,5.204317092895508,,,,,,gcm_linear,gcm_linear,11101,1308.3237162362057,-1317.7880002028687,-9.314790473334142,0.2,0.5119077010542833,0.9999,0.0,0.9999,111097.61588460108,109803.37785364145,109804.97302506959,109789.29216836487,111107.08016856774,111116.39495904108,66.0,74.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,0,0.0,2.0,0.011710656697594812,5.4392547607421875,0.16153153153153152,4.332490921020508,,,,,,gcm_hamming,gcm_hamming,11101,7898.051216734893,-7873.3458429172315,-41.70946180848114,0.7521206186172789,6.475177148448455,0.9948884711779449,0.0,0.9999,111097.61588460108,103199.56466786619,111137.45590280091,111165.28398583924,111072.91051078342,111114.6199725919,66.0,0.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,4,0.05,2.0,0.011260246824610395,5.433577060699463,0.15252252252252252,4.363838195800781,,,,,,gcm_hamming,gcm_hamming,11101,7773.897625075901,-7754.876765230467,-36.17286337367841,0.7521206186172789,6.475177148448455,0.9948884711779449,0.0,0.9999,111097.61588460108,103323.71825952518,111092.19419835602,111119.75723145997,111078.59502475565,111114.76788812933,66.0,4.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,8,0.1,2.0,0.010179263129447797,5.431568145751953,0.13792792792792793,4.4083571434021,,,,,,gcm_hamming,gcm_hamming,11101,7758.201623629531,-7751.140648646717,-24.567975800891872,0.7521206186172789,6.475177148448455,0.9973942355889724,0.0,0.9999,111097.61588460108,103339.41426097155,111066.73721765076,111091.86176084077,111090.55490961827,111115.12288541916,66.0,8.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,15,0.2,2.0,0.009098279434285199,5.4090657234191895,0.11954954954954955,4.46370267868042,,,,,,gcm_hamming,gcm_hamming,11101,7289.834807964595,-7290.6645714583865,-17.032234614132904,0.7521206186172789,6.475177148448455,0.9973942355889724,0.0,0.9999,111097.61588460108,103807.78107663649,111100.11156152283,111111.65437100922,111098.44564809487,111115.477882709,66.0,15.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,22,0.3,2.0,0.00882803351049455,5.380679607391357,0.09918918918918919,4.519488334655762,,,,,,gcm_hamming,gcm_hamming,11101,6519.944454731201,-6522.746902844156,-15.14829931742861,0.7521206186172789,6.475177148448455,0.9973942355889724,0.0,0.9999,111097.61588460108,104577.67142986988,111068.39425538575,111092.36806558167,111100.41833271403,111115.56663203146,66.0,22.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,29,0.4,2.0,0.008737951535897667,5.3582563400268555,0.08315315315315315,4.593840599060059,,,,,,gcm_hamming,gcm_hamming,11101,5626.323905002733,-5629.783914655403,-14.520320885188994,0.9379155676525598,6.475177148448455,0.9973942355889724,0.0,0.9999,111097.61588460108,105471.29197959835,111052.72796128785,111083.35904954468,111101.07589425375,111115.59621513894,66.0,29.0,natural,,,,
transformer,transformer_add_rho0_wd0.3_tiersNone,1001,add,0.0,0.3,100,0.25g,300,erand,in,36,0.5,2.0,0.007656967840735069,5.330652713775635,0.06594594594594595,4.662316799163818,,,,,,gcm_hamming,gcm_hamming,11101,4811.4772423754475,-4820.49777972982,-9.314790473334142,0.9379155676525598,5.2409898879736305,0.9999,0.0,0.9999,111097.61588460108,106286.13864222563,110975.87207292115,111020.48918317353,111106.63642195545,111115.95121242879,66.0,36.0,natural,,,,
