arch,condition,seed,task,rho,wd,step,lesion,side,param,dose,control_seed,test_acc,test_ce,train_reg_acc,train_reg_ce,acc_exc,overreg_rate,other_err_rate,exc_ce,exc_logit_gap,best_model,gcm_best,n_probe,dbic_gcm_vs_uniform,dbic_rulefam_vs_gcm,dbic_rulex_vs_rule,gcm_circular_lambda,gcm_hamming_lambda,rule_eps,rulex_m,rulex_eps,bic_uniform,bic_gcm_hamming,bic_gcm_circular,bic_gcm_linear,bic_rule,bic_rulex,k_modes,n_modes_touched,basis,n_units_total,unit_rank,attr_min_selected,dprime_min_selected
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.5,1.0,0.9863976218358707,0.050467465072870255,0.9996206733048838,0.002582627348601818,0.9135135135135135,0.08648648648648649,0.0,0.2588462829589844,4.028202533721924,rulex,gcm_circular,11656,48508.282370347326,64664.28844083596,8167.250676981162,40.0,0.05,0.05773258145363409,0.92,0.017045762711864407,116651.99628420055,116850.16397053059,68143.71391385322,68619.20103638893,11646.676149998424,3479.4254730172624,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.75,1.0,0.9895504909467615,0.03763649985194206,0.9997155049786629,0.002679392695426941,0.8450450450450451,0.15495495495495495,-2.7755575615628914e-17,0.45159482955932617,2.8424739837646484,rulex,gcm_circular,11656,49166.170825023,64488.76924413726,7499.803536458837,40.0,0.05,0.05021528822055138,0.84,0.017045762711864407,116651.99628420055,116853.55133780024,67485.82545917755,67939.50979560142,10496.859751499127,2997.05621504029,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,1.0,1.0,0.9927033600576525,0.029833175241947174,0.9996206733048838,0.0033713013399392366,0.7153153153153153,0.27927927927927926,0.005405405405405406,0.7815452814102173,1.6691040992736816,rulex,gcm_circular,11656,49672.3304243272,64385.66669539984,6231.510488429366,40.0,0.05,0.04269799498746867,0.72,0.017045762711864407,116651.99628420055,116859.7491857819,66979.66585987335,67426.801216538,8825.509652902874,2593.9991644735082,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.0,2.0,0.9795513917665075,0.09071027487516403,0.9990516832622096,0.0037910493556410074,0.9693693693693693,0.03063063063063063,2.0816681711721685e-17,0.09708353877067566,6.41006326675415,rulex,gcm_circular,11656,46958.09200264866,65011.16687387573,8618.407387799429,40.0,0.05,0.0652498746867168,0.96,0.017045762711864407,116651.99628420055,116848.52709097895,69693.90428155189,70197.64422076469,13301.14479547559,4682.737407676161,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.25,2.0,0.9834249166741735,0.06812351197004318,0.9994310099573257,0.00292185484431684,0.9513513513513514,0.04864864864864865,-5.551115123125783e-17,0.15410137176513672,5.205113410949707,rulex,gcm_circular,11656,47879.78782011921,64805.015892631374,8518.893203104697,40.0,0.05,0.06274411027568923,0.96,0.017045762711864407,116651.99628420055,116849.49748140652,68772.20846408134,69267.60038655525,12486.085774554664,3967.192571449967,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.5,2.0,0.9866678677596613,0.05059337243437767,0.9996206733048838,0.002505733398720622,0.9117117117117117,0.08828828828828829,-1.3877787807814457e-17,0.2608359456062317,3.9995503425598145,rulex,gcm_circular,11656,48640.101859349554,64581.939253862976,8154.346380110426,40.0,0.05,0.05773258145363409,0.92,0.017045762711864407,116651.99628420055,116851.77826099585,68011.894424851,68495.8276016069,11584.301551098444,3429.9551709880184,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,0.75,2.0,0.9896405729213584,0.037886522710323334,0.9998103366524419,0.0025461274199187756,0.8252252252252252,0.17297297297297298,0.0018018018018017834,0.45766258239746094,2.8003721237182617,rulex,gcm_circular,11656,49225.01908494884,64397.645430387805,7292.755211064009,40.0,0.05,0.05021528822055138,0.8200000000000001,0.017045762711864407,116651.99628420055,116854.17768545478,67426.9771992517,67893.61712520843,10322.086979927912,3029.3317688639027,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,randk,both,31,1.0,2.0,0.9927934420322494,0.02985103614628315,0.9998103366524419,0.0031191229354590178,0.69009009009009,0.3063063063063063,0.003603603603603678,0.7949581742286682,1.6144412755966187,rulex,gcm_circular,11656,49690.47772409374,64376.6439462251,5979.125590812762,40.0,0.05,0.040192230576441106,0.7000000000000001,0.017045762711864407,116651.99628420055,116858.26843613069,66961.51856010681,67416.62237137085,8564.000204694466,2584.874613881704,31.0,31.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,residual,in,43,0.0,,0.9795513917665075,0.09071027487516403,0.9990516832622096,0.0037910493556410074,0.9693693693693693,0.03063063063063063,2.0816681711721685e-17,0.09708353877067566,6.41006326675415,rulex,gcm_circular,11656,46958.09200264866,65011.16687387573,8618.407387799429,40.0,0.05,0.0652498746867168,0.96,0.017045762711864407,116651.99628420055,116848.52709097895,69693.90428155189,70197.64422076469,13301.14479547559,4682.737407676161,31.0,43.0,natural,,,,
transformer,transformer_add_rho0.05_wd0.3_tiersNone,1002,add,0.05,0.3,final,residual,in,43,0.25,,0.980722457436267,0.08055848628282547,0.9991465149359886,0.003236923133954406,0.9657657657657658,0.03423423423423423,-1.3877787807814457e-17,0.10960885137319565,6.030023097991943,rulex,gcm_circular,11656,47192.18265678341,64999.90195464442,8611.23902852795,40.0,0.05,0.0652498746867168,0.96,0.017045762711864407,116651.99628420055,116849.38924794004,69459.81362741714,69934.73235362297,13071.150701300676,4459.911672772724,31.0,43.0,natural,,,,
