condition,arch,task,joint,rho,wd,seed,grok_step,non_grokking,steps_run,cap,t_half_test_acc,t_switch_rule_or_rulex,mech_metric,t_half_mech,t_half_mech_corrected,mech_window_start,t_train_mem_reg,t_gen_persist,W_mem_to_gen_reg,t_half_mech_finalmode,mech_mode_stable,mech_final_mode,t_half_mech_use,regime_seq,switch_rel_grok,peak_overreg,t_peak_overreg,t_exc_memorized,acc_exc_at_grok,mem_to_grok_ratio,final_acc_exc,final_overreg
mamba_joint_rho0_wd0.3_tiersNone,mamba,add,True,0.0,0.3,1001,5550.0,False,6550,30000,4844.525675910381,4975.0,fourier_conc_final_eq,63.32378410439033,,500.0,4650.0,5550.0,900.0,,False,10.0,63.32378410439033,gcm>rule,0.8963963963963963,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,div,True,0.0,0.3,1001,2200.0,False,6550,30000,1633.3394274701238,1400.0,fourier_conc_final_eq,855.53110087996,855.53110087996,,1625.0,2200.0,575.0,926.1046817501212,False,7.0,855.53110087996,uniform>gcm>rule,0.6363636363636364,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,max,True,0.0,0.3,1001,150.0,False,6550,30000,7.715261453936318,50.0,linear_corr_final_eq,39.24374035431621,39.24374035431621,,300.0,150.0,-150.0,,True,,39.24374035431621,uniform>gcm>rule,0.3333333333333333,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,add,True,0.0,0.3,1002,4375.0,False,5375,30000,3741.4784226639804,3750.0,fourier_conc_final_eq,113.03999378588128,,500.0,3625.0,4375.0,750.0,,False,2.0,113.03999378588128,gcm>uniform>gcm>rule,0.8571428571428571,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,div,True,0.0,0.3,1002,2900.0,False,5375,30000,2389.681835267459,1775.0,fourier_conc_final_eq,1223.5933570898435,1223.5933570898435,,2300.0,2900.0,600.0,2000.0,False,4.0,1223.5933570898435,gcm>rule>gcm>rule,0.6120689655172413,,,,,,,
mamba_joint_rho0_wd0.3_tiersNone,mamba,max,True,0.0,0.3,1002,175.0,False,5375,30000,8.857733730450294,50.0,linear_corr_final_eq,37.10227637075326,37.10227637075326,,400.0,175.0,-225.0,,True,,37.10227637075326,rule>gcm>rule,0.2857142857142857,,,,,,,
mamba_max_rho0.02_wd0.1_tiersNone,mamba,max,False,0.02,0.1,1000,75.0,False,2075,20000,5.640117068086257,1.0,linear_corr_final_eq,5.130817611117304,5.130817611117304,,150.0,75.0,-75.0,,True,,5.130817611117304,rule>rulex,0.013333333333333334,0.9144144144144144,25.0,575.0,0.0225225225225225,7.666666666666667,0.9864864864864864,0.0135135135135135
mamba_max_rho0.02_wd0.1_tiersNone,mamba,max,False,0.02,0.1,1001,50.0,False,2050,20000,5.502994488085594,1.0,linear_corr_final_eq,5.000000000000002,5.000000000000002,,125.0,50.0,-75.0,,True,,5.000000000000002,rule>rulex,0.02,0.9414414414414416,25.0,600.0,0.0135135135135135,12.0,0.981981981981982,0.0135135135135135
mamba_max_rho0.02_wd0.1_tiersNone,mamba,max,False,0.02,0.1,1002,75.0,False,2075,20000,5.543223875752394,25.0,linear_corr_final_eq,5.000000000000002,5.000000000000002,,125.0,75.0,-50.0,,True,,5.000000000000002,gcm>rule>rulex,0.3333333333333333,0.945945945945946,50.0,600.0,0.0405405405405405,8.0,0.9864864864864864,0.009009009009009
mamba_max_rho0_wd0.1_tiersNone,mamba,max,False,0.0,0.1,1000,50.0,False,1050,20000,5.627901073045436,25.0,linear_corr_final_eq,5.949759641869421,5.949759641869421,,125.0,50.0,-75.0,,True,,5.949759641869421,gcm>rule,0.5,,,,,,,
mamba_max_rho0_wd0.1_tiersNone,mamba,max,False,0.0,0.1,1001,75.0,False,1075,20000,5.542640769236671,25.0,linear_corr_final_eq,5.000000000000001,5.000000000000001,,125.0,75.0,-50.0,,True,,5.000000000000001,gcm>rule,0.3333333333333333,,,,,,,
mamba_max_rho0_wd0.1_tiersNone,mamba,max,False,0.0,0.1,1002,75.0,False,1075,20000,5.568858163396671,25.0,linear_corr_final_eq,5.000000000000001,5.000000000000001,,100.0,75.0,-25.0,,True,,5.000000000000001,gcm>rule,0.3333333333333333,,,,,,,
transformer_add_rho0.02_wd0.1_tiersNone,transformer,add,False,0.02,0.1,1000,375.0,False,3750,20000,312.4854194384382,225.0,fourier_conc_final_eq,151.10725445400627,151.10725445400627,,350.0,375.0,25.0,500.0,False,50.0,151.10725445400627,uniform>gcm>rulex,0.6,0.6621621621621622,375.0,2200.0,0.2837837837837837,5.866666666666666,0.972972972972973,0.018018018018018
transformer_add_rho0.02_wd0.1_tiersNone,transformer,add,False,0.02,0.1,1001,425.0,False,4250,20000,328.36010560954446,175.0,fourier_conc_final_eq,132.31751094885067,132.31751094885067,,375.0,425.0,50.0,425.0,False,14.0,132.31751094885067,uniform>gcm>rulex,0.4117647058823529,0.6351351351351351,400.0,2400.0,0.3468468468468468,5.647058823529412,0.972972972972973,0.018018018018018
